scenario,target_year,region,archetype_id,dwelling_type,construction_period,renovation_state,state_dwellings,regional_modelled_stock_dwellings,cooling_case,cooling_variant_id,active_cooling,cooling_system,heating_system_reversible_cooling_capable,variant_share,variant_dwellings,source_id,assumption_id
central,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,TABULA_existing,0,3244134,no_active_cooling,inactive_cooling,false,none_active,false,1,0,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,TABULA_existing,0,3244134,no_active_cooling,active_cooling,true,integrated_reversible_or_split_system_unspecified,false,0,0,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,TABULA_existing,0,3244134,current_regional,inactive_cooling,false,none_active,false,0.87,0,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,TABULA_existing,0,3244134,current_regional,active_cooling,true,integrated_reversible_or_split_system_unspecified,false,0.13,0,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,TABULA_existing,0,3244134,higher_uptake,inactive_cooling,false,none_active,false,0.74,0,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,TABULA_existing,0,3244134,higher_uptake,active_cooling,true,integrated_reversible_or_split_system_unspecified,false,0.26,0,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,TABULA_standard_B_proxy,88869.6418435,3244134,no_active_cooling,inactive_cooling,false,none_active,false,1,88869.6418435,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,TABULA_standard_B_proxy,88869.6418435,3244134,no_active_cooling,active_cooling,true,integrated_reversible_or_split_system_unspecified,false,0,0,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,TABULA_standard_B_proxy,88869.6418435,3244134,current_regional,inactive_cooling,false,none_active,false,0.87,77316.58840384499,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,TABULA_standard_B_proxy,88869.6418435,3244134,current_regional,active_cooling,true,integrated_reversible_or_split_system_unspecified,false,0.13,11553.053439655,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,TABULA_standard_B_proxy,88869.6418435,3244134,higher_uptake,inactive_cooling,false,none_active,false,0.74,65763.53496419,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,TABULA_standard_B_proxy,88869.6418435,3244134,higher_uptake,active_cooling,true,integrated_reversible_or_split_system_unspecified,false,0.26,23106.10687931,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,TABULA_advanced_A_proxy,18771.2560065,3244134,no_active_cooling,inactive_cooling,false,none_active,true,1,18771.2560065,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,TABULA_advanced_A_proxy,18771.2560065,3244134,no_active_cooling,active_cooling,true,integrated_reversible_or_split_system_unspecified,true,0,0,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,TABULA_advanced_A_proxy,18771.2560065,3244134,current_regional,inactive_cooling,false,none_active,true,0.87,16330.992725655,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,TABULA_advanced_A_proxy,18771.2560065,3244134,current_regional,active_cooling,true,integrated_reversible_or_split_system_unspecified,true,0.13,2440.263280845,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,TABULA_advanced_A_proxy,18771.2560065,3244134,higher_uptake,inactive_cooling,false,none_active,true,0.74,13890.72944481,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,TABULA_advanced_A_proxy,18771.2560065,3244134,higher_uptake,active_cooling,true,integrated_reversible_or_split_system_unspecified,true,0.26,4880.526561690001,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_02,Semi-detached house,pre-1946,TABULA_existing,0,3244134,no_active_cooling,inactive_cooling,false,none_active,false,1,0,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_02,Semi-detached house,pre-1946,TABULA_existing,0,3244134,no_active_cooling,active_cooling,true,integrated_reversible_or_split_system_unspecified,false,0,0,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_02,Semi-detached house,pre-1946,TABULA_existing,0,3244134,current_regional,inactive_cooling,false,none_active,false,0.87,0,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_02,Semi-detached house,pre-1946,TABULA_existing,0,3244134,current_regional,active_cooling,true,integrated_reversible_or_split_system_unspecified,false,0.13,0,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_02,Semi-detached house,pre-1946,TABULA_existing,0,3244134,higher_uptake,inactive_cooling,false,none_active,false,0.74,0,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_02,Semi-detached house,pre-1946,TABULA_existing,0,3244134,higher_uptake,active_cooling,true,integrated_reversible_or_split_system_unspecified,false,0.26,0,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_02,Semi-detached house,pre-1946,TABULA_standard_B_proxy,115048.63274239999,3244134,no_active_cooling,inactive_cooling,false,none_active,false,1,115048.63274239999,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_02,Semi-detached house,pre-1946,TABULA_standard_B_proxy,115048.63274239999,3244134,no_active_cooling,active_cooling,true,integrated_reversible_or_split_system_unspecified,false,0,0,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_02,Semi-detached house,pre-1946,TABULA_standard_B_proxy,115048.63274239999,3244134,current_regional,inactive_cooling,false,none_active,false,0.87,100092.310485888,STATBEL_HBS_2024,COOLING_CASES_V1
